Date,Close
2024-10-04,100.99
2024-10-07,100.11
2024-10-08,102.07
2024-10-09,104.21
2024-10-10,101.08
2024-10-11,101.46
2024-10-14,105.47
2024-10-15,104.23
2024-10-16,102.13
2024-10-17,104.54
2024-10-18,102.9
2024-10-21,103.27
2024-10-22,105.05
2024-10-23,101.11
2024-10-24,101.85
2024-10-25,104.53
2024-10-28,103.99
2024-10-29,106.99
2024-10-30,104.9
2024-10-31,104.23
2024-11-01,110.33
2024-11-04,107.28
2024-11-05,108.19
2024-11-06,105.53
2024-11-07,107.61
2024-11-08,109.24
2024-11-11,107.02
2024-11-12,110.37
2024-11-13,108.72
2024-11-14,109.62
2024-11-15,109.29
2024-11-18,114.47
2024-11-19,111.01
2024-11-20,109.19
2024-11-21,113.2
2024-11-22,109.37
2024-11-25,112.47
2024-11-26,108.37
2024-11-27,109.86
2024-11-28,113.13
2024-11-29,114.43
2024-12-02,113.51
2024-12-03,113.14
2024-12-04,112.96
2024-12-05,110.79
2024-12-06,112.49
2024-12-09,113.18
2024-12-10,116.38
2024-12-11,115.12
2024-12-12,111.05
2024-12-13,115.38
2024-12-16,114.1
2024-12-17,113.64
2024-12-18,116.35
2024-12-19,117.31
2024-12-20,117.22
2024-12-23,113.79
2024-12-24,114.95
2024-12-25,116.32
2024-12-26,117.7
2024-12-27,114.87
2024-12-30,115.54
2024-12-31,113.77
2025-01-01,113.66
2025-01-02,117.74
2025-01-03,118.89
2025-01-06,116.08
2025-01-07,118.28
2025-01-08,117.04
2025-01-09,115.07
2025-01-10,117.12
2025-01-13,119.51
2025-01-14,116.39
2025-01-15,119.62
2025-01-16,111.28
2025-01-17,118.18
2025-01-20,116.73
2025-01-21,115.98
2025-01-22,116.78
2025-01-23,112.63
2025-01-24,116.18
2025-01-27,117.35
2025-01-28,119.6
2025-01-29,115.62
2025-01-30,115.05
2025-01-31,115.68
2025-02-03,118.52
2025-02-04,117.36
2025-02-05,115.66
2025-02-06,117.76
2025-02-07,116.94
2025-02-10,118.71
2025-02-11,115.38
2025-02-12,116.15
2025-02-13,116.05
2025-02-14,113.93
2025-02-17,117.48
2025-02-18,117.44
2025-02-19,116.97
2025-02-20,116.53
2025-02-21,114.21
2025-02-24,116.25
2025-02-25,116.46
2025-02-26,115.59
2025-02-27,116.94
2025-02-28,118.13
2025-03-03,121.17
2025-03-04,117.82
2025-03-05,118.07
2025-03-06,117.49
2025-03-07,113.9
2025-03-10,117.78
2025-03-11,118.06
2025-03-12,122.98
2025-03-13,117.78
2025-03-14,118.9
2025-03-17,118.35
2025-03-18,116.22
2025-03-19,120.99
2025-03-20,120.36
2025-03-21,120.59
2025-03-24,117.36
2025-03-25,122.15
2025-03-26,116.72
2025-03-27,120.88
2025-03-28,124.28
2025-03-31,118.12
2025-04-01,119.17
2025-04-02,120.72
2025-04-03,119.73
2025-04-04,117.87
2025-04-07,121.34
2025-04-08,119.32
2025-04-09,122.64
2025-04-10,120.11
2025-04-11,125.31
2025-04-14,120.91
2025-04-15,122.11
2025-04-16,124.66
2025-04-17,120.86
2025-04-18,124.07
2025-04-21,126.53
2025-04-22,121.0
2025-04-23,124.9
2025-04-24,125.36
2025-04-25,126.73
2025-04-28,123.02
2025-04-29,123.18
2025-04-30,127.21
2025-05-01,127.1
2025-05-02,127.35
2025-05-05,127.89
2025-05-06,126.2
2025-05-07,128.38
2025-05-08,128.86
2025-05-09,127.21
2025-05-12,132.74
2025-05-13,130.33
2025-05-14,127.37
2025-05-15,131.45
2025-05-16,128.56
2025-05-19,132.47
2025-05-20,133.59
2025-05-21,130.02
2025-05-22,133.97
2025-05-23,133.26
2025-05-26,134.46
2025-05-27,137.0
2025-05-28,133.1
2025-05-29,132.47
2025-05-30,132.59
2025-06-02,133.12
2025-06-03,134.98
2025-06-04,136.2
2025-06-05,136.45
2025-06-06,137.93
2025-06-09,136.68
2025-06-10,139.94
2025-06-11,136.88
2025-06-12,143.22
2025-06-13,139.4
2025-06-16,136.8
2025-06-17,136.73
2025-06-18,140.19
2025-06-19,139.14
2025-06-20,141.36
2025-06-23,141.22
2025-06-24,140.47
2025-06-25,139.26
2025-06-26,138.25
2025-06-27,140.72
2025-06-30,143.64
2025-07-01,142.67
2025-07-02,140.06
2025-07-03,143.2
2025-07-04,143.92
2025-07-07,141.68
2025-07-08,144.04
2025-07-09,144.13
2025-07-10,142.0
2025-07-11,145.26
2025-07-14,145.93
2025-07-15,147.23
2025-07-16,147.41
2025-07-17,142.79
2025-07-18,143.9
2025-07-21,147.03
2025-07-22,147.25
2025-07-23,147.46
2025-07-24,154.34
2025-07-25,147.97
2025-07-28,149.29
2025-07-29,149.11
2025-07-30,148.68
2025-07-31,146.92
2025-08-01,149.23
2025-08-04,146.32
2025-08-05,147.54
2025-08-06,147.18
2025-08-07,148.45
2025-08-08,153.05
2025-08-11,144.8
2025-08-12,150.03
2025-08-13,145.54
2025-08-14,147.92
2025-08-15,151.14
2025-08-18,149.18
2025-08-19,146.98
2025-08-20,147.79
2025-08-21,150.65
2025-08-22,147.9
2025-08-25,149.86
2025-08-26,149.58
2025-08-27,148.24
2025-08-28,153.88
2025-08-29,150.91
2025-09-01,145.63
2025-09-02,150.09
2025-09-03,148.43
2025-09-04,151.49
2025-09-05,148.23
2025-09-08,149.61
2025-09-09,150.87
2025-09-10,151.62
2025-09-11,147.5
2025-09-12,149.25
2025-09-15,148.99
2025-09-16,148.64
2025-09-17,153.5
2025-09-18,150.79
2025-09-19,147.47
2025-09-22,151.84
